algorithm,data_size,sorted,run_number,cpu_time,comparisons,swaps
InsertionSort,1000,unsorted,1,0.001230,243455,242456
SelectionSort,1000,unsorted,1,0.001731,499500,990
QuickSort,1000,unsorted,1,0.000137,10139,5420
InsertionSort,1000,unsorted,2,0.001785,243455,242456
SelectionSort,1000,unsorted,2,0.001791,499500,990
QuickSort,1000,unsorted,2,0.000137,10139,5420
InsertionSort,1000,unsorted,3,0.001203,243455,242456
SelectionSort,1000,unsorted,3,0.002440,499500,990
QuickSort,1000,unsorted,3,0.000137,10139,5420
InsertionSort,1000,unsorted,4,0.001772,243455,242456
SelectionSort,1000,unsorted,4,0.001659,499500,990
QuickSort,1000,unsorted,4,0.000116,10139,5420
InsertionSort,1000,unsorted,5,0.001393,243455,242456
SelectionSort,1000,unsorted,5,0.002178,499500,990
QuickSort,1000,unsorted,5,0.000137,10139,5420
InsertionSort,1000,unsorted,6,0.001157,243455,242456
SelectionSort,1000,unsorted,6,0.002209,499500,990
QuickSort,1000,unsorted,6,0.000135,10139,5420
InsertionSort,1000,unsorted,7,0.001157,243455,242456
SelectionSort,1000,unsorted,7,0.002469,499500,990
QuickSort,1000,unsorted,7,0.000102,10139,5420
InsertionSort,1000,unsorted,8,0.001185,243455,242456
SelectionSort,1000,unsorted,8,0.001601,499500,990
QuickSort,1000,unsorted,8,0.000134,10139,5420
InsertionSort,1000,unsorted,9,0.001474,243455,242456
SelectionSort,1000,unsorted,9,0.001607,499500,990
QuickSort,1000,unsorted,9,0.000101,10139,5420
InsertionSort,1000,unsorted,10,0.001135,243455,242456
SelectionSort,1000,unsorted,10,0.001720,499500,990
QuickSort,1000,unsorted,10,0.000139,10139,5420
InsertionSort,1000,sorted,1,0.000005,999,0
SelectionSort,1000,sorted,1,0.001560,499500,0
QuickSort,1000,sorted,1,0.004080,499500,500499
InsertionSort,1000,sorted,2,0.000005,999,0
SelectionSort,1000,sorted,2,0.001531,499500,0
QuickSort,1000,sorted,2,0.005262,499500,500499
InsertionSort,1000,sorted,3,0.000006,999,0
SelectionSort,1000,sorted,3,0.002365,499500,0
QuickSort,1000,sorted,3,0.005211,499500,500499
InsertionSort,1000,sorted,4,0.000007,999,0
SelectionSort,1000,sorted,4,0.001677,499500,0
QuickSort,1000,sorted,4,0.004274,499500,500499
InsertionSort,1000,sorted,5,0.000005,999,0
SelectionSort,1000,sorted,5,0.001544,499500,0
QuickSort,1000,sorted,5,0.004018,499500,500499
InsertionSort,1000,sorted,6,0.000005,999,0
SelectionSort,1000,sorted,6,0.002006,499500,0
QuickSort,1000,sorted,6,0.005626,499500,500499
InsertionSort,1000,sorted,7,0.000006,999,0
SelectionSort,1000,sorted,7,0.001562,499500,0
QuickSort,1000,sorted,7,0.004432,499500,500499
InsertionSort,1000,sorted,8,0.000008,999,0
SelectionSort,1000,sorted,8,0.001656,499500,0
QuickSort,1000,sorted,8,0.003972,499500,500499
InsertionSort,1000,sorted,9,0.000008,999,0
SelectionSort,1000,sorted,9,0.001588,499500,0
QuickSort,1000,sorted,9,0.004067,499500,500499
InsertionSort,1000,sorted,10,0.000005,999,0
SelectionSort,1000,sorted,10,0.001553,499500,0
QuickSort,1000,sorted,10,0.004080,499500,500499
InsertionSort,10000,unsorted,1,0.112426,24928809,24918810
SelectionSort,10000,unsorted,1,0.153514,49995000,9989
QuickSort,10000,unsorted,1,0.001435,152731,85376
InsertionSort,10000,unsorted,2,0.110886,24928809,24918810
SelectionSort,10000,unsorted,2,0.154098,49995000,9989
QuickSort,10000,unsorted,2,0.001476,152731,85376
InsertionSort,10000,unsorted,3,0.111521,24928809,24918810
SelectionSort,10000,unsorted,3,0.153783,49995000,9989
QuickSort,10000,unsorted,3,0.001438,152731,85376
InsertionSort,10000,unsorted,4,0.110420,24928809,24918810
SelectionSort,10000,unsorted,4,0.152706,49995000,9989
QuickSort,10000,unsorted,4,0.001455,152731,85376
InsertionSort,10000,unsorted,5,0.110618,24928809,24918810
SelectionSort,10000,unsorted,5,0.152991,49995000,9989
QuickSort,10000,unsorted,5,0.001549,152731,85376
InsertionSort,10000,unsorted,6,0.111880,24928809,24918810
SelectionSort,10000,unsorted,6,0.153644,49995000,9989
QuickSort,10000,unsorted,6,0.001532,152731,85376
InsertionSort,10000,unsorted,7,0.112415,24928809,24918810
SelectionSort,10000,unsorted,7,0.153055,49995000,9989
QuickSort,10000,unsorted,7,0.001491,152731,85376
InsertionSort,10000,unsorted,8,0.111476,24928809,24918810
SelectionSort,10000,unsorted,8,0.152732,49995000,9989
QuickSort,10000,unsorted,8,0.001555,152731,85376
InsertionSort,10000,unsorted,9,0.109806,24928809,24918810
SelectionSort,10000,unsorted,9,0.152055,49995000,9989
QuickSort,10000,unsorted,9,0.001391,152731,85376
InsertionSort,10000,unsorted,10,0.109692,24928809,24918810
SelectionSort,10000,unsorted,10,0.153115,49995000,9989
QuickSort,10000,unsorted,10,0.001767,152731,85376
InsertionSort,10000,sorted,1,0.000047,9999,0
SelectionSort,10000,sorted,1,0.152380,49995000,0
QuickSort,10000,sorted,1,0.390204,49995000,50004999
InsertionSort,10000,sorted,2,0.000059,9999,0
SelectionSort,10000,sorted,2,0.151683,49995000,0
